Accession,Geo_Location
MT506668,USA: Michigan
MT506669,USA: Michigan
MT506670,USA: Michigan
MT506671,USA: Michigan
MT506672,USA: Michigan
MT506673,USA: Michigan
MT506674,USA: Michigan
MT506675,USA: Michigan
MT506676,USA: Michigan
MT506677,USA: Michigan
MT506678,USA: Michigan
MT506679,USA: Michigan
MT506680,USA: Michigan
MT506681,USA: Michigan
MT506682,USA: Michigan
MT506683,USA: Michigan
MT506684,USA: Michigan
MT506685,USA: Michigan
MT506686,USA: Michigan
MT506687,USA: Michigan
MT506688,USA: Michigan
MT506689,USA: Michigan
MT506690,USA: Michigan
MT506691,USA: Michigan
MT506692,USA: Michigan
MT506693,USA: Michigan
MT506694,USA: Michigan
MT506695,USA: Michigan
MT506696,USA: Michigan
MT506697,USA: Michigan
MT506698,USA: Michigan
MT506699,USA: Michigan
MT506700,USA: Michigan
MT506701,USA: Michigan
MT506702,USA: Michigan
MT506707,USA
MT506885,USA: Wisconsin
MT506886,USA: Oregon
MT506887,USA: Dane County
MT506888,USA: Illinois
MT506889,USA: Illinois
MT506890,USA: Madison
MT506891,USA: Illinois
MT506892,USA: Illinois
MT506893,USA: Dane County
MT506894,USA: Illinois
MT506895,USA: Mount Horeb
MT506896,USA: Illinois
MT506897,USA: Illinois
MT506898,USA: Verona
MT506899,USA: Illinois
MT506900,USA: Illinois
MT506901,USA: Mount Horeb
MT506902,USA: Illinois
MT506903,USA: Illinois
MT506904,USA: Illinois
MT506905,USA: Illinois
MT506906,USA: Dane County
MT506907,USA: Illinois
MT507271,Jamaica
MT507272,Jamaica
MT507273,Jamaica
MT507274,Jamaica
MT507275,Jamaica
MT507276,Jamaica
MT507277,USA
MT507278,USA
MT507279,USA
MT507280,USA
MT507281,USA
MT507282,USA
MT507793,Jamaica
MT507794,Jamaica
MT507795,USA
MT507796,USA
MT499171,USA: CA
MT499172,USA: CA
MT499173,USA: CA
MT499174,USA: CA
MT499175,USA: CA
MT499176,USA: CA
MT499177,USA: CA
MT499178,USA: CA
MT499179,USA: CA
MT499180,USA: CA
MT499181,USA: CA
MT499182,USA: CA
MT499183,USA: CA
MT499184,USA: CA
MT499185,USA: CA
MT499186,USA: CA
MT499187,USA: CA
MT499188,USA: CA
MT499189,USA: CA
MT499190,USA: CA
MT499191,USA: CA
MT499192,USA: CA
MT499193,USA: CA
MT499194,USA: CA
MT499195,USA: CA
MT499196,USA: CA
MT499197,USA: CA
MT499198,USA: CA
MT499199,USA: CA
MT499200,USA: CA
MT499201,USA: CA
MT499202,USA: CA
MT499203,USA: CA
MT499204,USA: CA
MT499205,USA: CA
MT499206,USA: CA
MT499207,USA: CA
MT499208,Poland
MT499209,Poland
MT499210,Poland
MT500122,Pakistan: Karachi
MT502774,Bangladesh
MT481895,India: Ahmedabad
MT481896,India: Ahmedabad
MT481897,India: Modasa
MT481898,India: Himatnagar
MT481899,India: Modasa
MT481900,India: Gandhinagar
MT481901,India: Dahegam
MT481902,India: Dahegam
MT481903,India: Dahegam
MT481904,India: Gandhinagar
MT481905,India: Gandhinagar
MT481906,India: Gandhinagar
MT481907,India: Gandhinagar
MT481908,India: Mansa
MT481909,India: Modasa
MT496972,India: Ahmedabad
MT496973,India: Ahmedabad
MT496974,India: Ahmedabad
MT496975,India: Ahmedabad
MT496976,India: Ahmedabad
MT496977,India: Ahmedabad
MT496978,India: Ahmedabad
MT496979,India: Ahmedabad
MT496980,India: Ahmedabad
MT496981,India: Ahmedabad
MT496982,India: Ahmedabad
MT496983,India: Ahmedabad
MT496984,India: Ahmedabad
MT496985,India: Ahmedabad
MT496986,India: Ahmedabad
MT496987,India: Ahmedabad
MT496988,India: Ahmedabad
MT496989,India: Ahmedabad
MT496990,India: Gandhinagar
MT496991,India: Gandhinagar
MT496992,India: Ahmedabad
MT496993,India: Gandhinagar
MT496994,India: Gandhinagar
MT496995,India: Gandhinagar
MT496996,India: Gandhinagar
MT496997,India: Gandhinagar
MT270101,Germany: Bavaria
MT270102,Germany: Bavaria
MT270103,Germany: Bavaria
MT270104,Germany: Bavaria
MT270105,Germany: Bavaria
MT270106,Germany: Bavaria
